501	"<img src=""E4B99E.png"" />"	beg	kerjama	that woman in bacolod	乞食	こじき	beggar	beg, reclining, lying down, fishhook	See someone <i>lying down</i> in a public place with a <i>hook</i> in place of a hand, <b>begging</b> a morsel of rice or a few pence.		3	Lying down, Captain Hook is begging to be spared from the ticking crocodile.	Men beg lying down. Women beg as hookers.	乞	こじき; こつじき【乞食】beggar / begging<br/>ほいとう; ほいと【乞児】being served food outside the meditation hall (at a Zen temple) / serving food; food served / begging; beggar<br/>こう【乞う】to beg; to ask; to request; to invite<br/>いのちごい【命ごい】begging for one's life; pleading for one's life<br/>ものごい【物ごい】beggar; begging<br/>あまごい【雨乞い】praying for rain<br/>いとまごい【暇乞】leave-taking; offering one's resignation; farewell visit<br/>こい【乞い】request; entreaty<br/>そでごい【袖乞い】beggar<br/>こつがい; かたい; かったい; きっかい【乞丐】beggar; bum	18	コツ, キツ, キ, キケ, コチ	こ.う	462	1013	0	[sound:RTK1_keyword_jp_501..mp3]	[sound:RTK1_keyword_en_501.mp3]
528	"<img src=""E69C9B.png"" />"	ambition	ambitsioon	perishing moon	望む	のぞむ	to desire	ambition, deceased, perish, top hat, fishhook, moon, month, flesh, part of the body, king, jewel, ball	"The story of <b>ambition</b> talks of a <i>king</i> walking under the <i>perishing</i> (or ""waning"") <i>moon</i> dreaming great dreams about his kingdom. (The roots of <b>ambition</b> are from the same word as ""ambulate,"" meaning to walk about.)"		11	You´re dead meat, buddy, my ambition is to be king.	The ambitions of kings often result in dead bodies.	望	のぞむ【望む】to desire / to wish for; to expect / to see; to command (a view of)<br/>きぼう【冀望】hope; wish; aspiration<br/>ぜつぼう【絶望】despair; hopelessness<br/>よくぼう【慾望】desire; appetite; lust<br/>のぞみ【望み】wish; desire; hope / prospect; expectation; (one's) hopes<br/>しつぼう【失望】disappointment; despair<br/>ぼう; もち【望】full moon / 15th day of the lunar month<br/>がんぼう; がんもう【願望】desire; wish; aspiration<br/>てんぼう【展望】view; outlook; prospect<br/>ぼうえんきょう【望遠鏡】telescope<br/>せんぼうきょう【潜望鏡】periscope<br/>のぞましい【望ましい】desirable; hoped for; preferable; advisable<br/>せんぼう【羨望】envy<br/>やぼう【野望】ambition; aspiration; designs; treachery<br/>しょもう【所望】desire; request; wish<br/>いちぼう【一望】one sweep (of the eye); an unbroken view<br/>しぼう【志望】wish; desire; ambition<br/>ようぼう【要望】demand for; request<br/>ぼうえん【望遠】seeing at a distance<br/>じんぼう【人望】popularity	19	ボウ, モウ	のぞ.む, もち	489	613	2	[sound:RTK1_keyword_jp_528..mp3]	[sound:RTK1_keyword_en_528.mp3]
529	"<img src=""E696B9.png"" />"	direction	suund	pudelimäng	方	かた	direction; way	direction, compass, direction	Spinning a <i>dagger</i> about on its hilt on the top of a <i>top hat</i> - waiting to see in which <b>direction</b> it points when it comes to rest - one leaves to fate where one is going next. Take care in writing this character.	"* As a primitive, this character will take the sense of a <i>compass</i>, the instrument used to determine <i>direction</i>.	 "	4	Note: The primitives are top hat and bound up. Compare ten thousand (#64). Story: A rich man wearing a top hat and bound up from head to toe hobbles up to you and asks for directions to the nearest police station because he just escaped from his kidnappers.	I always keep my directions bound to the bottom of my top hat so I won´t lose them.	方	しかた【仕形】way; method; means; resource; course<br/>いっぽう【一方】one (esp. of two); the other; one way; the other way; one direction; the other direction; one side; the other side; one party; the other party / on the one hand; on the other hand / whereas; although; but at the same time; meanwhile; in turn / just keeps; being inclined to ...; tending to be ...; tending to do ...; continuously ...; just keeps on ...ing; only<br/>ひとかた【一方】one person / (often in negative form) ordinary; common<br/>ほうほう【方法】method; process; manner; way; means; technique<br/>ほうこう【方向】direction; orientation; bearing; way / course (e.g. of action)<br/>みかた【味方】friend; ally; supporter<br/>ぜんぽう【前方】forward; frontward / rectangular front<br/>まえかた【前方】previously; some time ago<br/>きほう【貴方】your home; your residence / you (referring to one's equal; epistolary style)<br/>あんた【貴方】you (familiar form of anata)<br/>あなた【貴女】you (referring to someone of equal or lower status) / dear (what a wife calls a husband)<br/>あちら; あっち; あち【彼方】that way (direction distant from both speaker and listener); over there; yonder / that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener); that / that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener) / there (place distant from both speaker and listener); over there; foreign country (esp. a Western nation)<br/>かなた; あなた【彼方】beyond; across; the other side; the distance<br/>ちほう【地方】district; region; area; locality / the country; countryside; the provinces; rural area<br/>じかた【地方】person in charge of music (in a Japanese dance performance) / person singing ballads (in noh) / coast (esp. as seen from the water); shore / the country; countryside; the provinces; rural area<br/>ゆうがた【夕がた】evening; dusk<br/>こうほう【後方】behind; in the rear; in back<br/>りょうほう【両方】both; both sides; both parties<br/>ゆくえ【行方】(one's) whereabouts / outcome<br/>いきかた; ゆきかた【行方】way (of going); route / way (of doing); method	19	ホウ	かた, -かた, -がた	490	223	3	[sound:RTK1_keyword_jp_529..mp3]	[sound:RTK1_keyword_en_529.mp3]
530	"<img src=""E5A6A8.png"" />"	disturb	segama		妨げる	さまたげる	to disturb; to prevent; to obstruct; to hinder	disturb, compass, direction, woman	Imagine a <i>compass</i> that is <b>disturbed</b> every time a <i>woman</i> passes by, sending the needle spinning madly round and round.		7	Capt. Jack Sparrow´s compass gets disturbed every time a beautiful woman walks by him (just picture Keira Knightley in her sexy asian outfit as Elizabeth and the image will be fixed forever).	One way to Disturb a woman is to give her directions while she is in the middle of driving -- she just can´t take that kind of stress.	妨	ぼうがい【妨害】disturbance; obstruction; hindrance; jamming; interference<br/>さまたげる【妨げる】to disturb; to prevent; to obstruct; to hinder<br/>さまたげ【妨げ】obstruction; hindrance<br/>ぼうがい【妨害】disturbance; obstruction; hindrance; jamming; interference	19	ボウ	さまた.げる	491	1130	1	[sound:RTK1_keyword_jp_530..mp3]	[sound:RTK1_keyword_en_530.mp3]
531	"<img src=""E59D8A.png"" />"	boy	poiss		赤ん坊	あかんぼう	baby; infant	boy, soil, dirt, ground, compass, direction	The character for a <b>boy</b> shows us a <b>Boy</b> Scout cleaning the <i>dirt</i> out of his <i>compass</i> - the more <i>dirt</i>, the better.		7	Little boys always head in the direction of mud and dirt.	Boys thoughts often head in dirty directions.	坊	あかんぼう; あかんぼ【赤ん坊】baby; infant<br/>ぼう; ぼん【坊】bonze; monk / monk's dwelling / (vocative) boy; sonny / I; me / familiar form of address / person who is ..<br/>ぼうず【坊主】Buddhist priest; bonze / close-cropped hair; crew cut; person with a shorn head / boy; sonny; lad / not catching anything (in fishing)<br/>ぼうや【坊や】boy<br/>ぼうさん【坊さん】Buddhist priest; monk / boy<br/>ぼっちゃん【坊ちゃん】son (of others) / young master / green young man from a well-to-do family<br/>ぼっちゃん【坊ちゃん】son (of others) / young master / green young man from a well-to-do family<br/>ねぼう【寐坊】sleeping in late; oversleeping / late riser; sleepyhead<br/>どろぼう【泥坊】thief; burglar; robber; theft<br/>こぼうず【小坊主】young priest; scamp<br/>くろんぼう; くろんぼ【黒んぼ】dark-skinned person; well-tanned person / (wheat) smut / stagehand (in kabuki); prompter<br/>うみぼうず【海坊主】sea monster / green turtle<br/>あまえんぼう【あまえん坊】pampered or spoiled child (spoilt)<br/>まるぼうず【丸坊主】close-cropped head; bald hill<br/>あさねぼう【朝寝坊】oversleeping; late riser<br/>ふうらいぼう【風来坊】wanderer; vagabond; capricious person; hobo<br/>くいしんぼう; くいしんぼ【くいしん坊】glutton; gourmand<br/>ちゃぼうず【茶坊主】tea-server / flatterer; sycophant<br/>でくのぼう【でくの坊】wooden doll / blockhead; good-for-nothing<br/>たちんぼう; たちんぼ【立ちんぼ】being kept standing (without doing anything) / beggar; tramp	19	ボウ, ボッ		492	1125	2	[sound:RTK1_keyword_jp_531..mp3]	[sound:RTK1_keyword_en_531.mp3]
532	"<img src=""E88AB3.png"" />"	perfumed	lõhnastatud		芳しい	かんばしい	sweet; fragrant; aromatic	perfume, flowers, compass, direction	Here we see a special <i>compass</i> used to pick out those <i>flowers</i> most suited for making good <b>perfumes</b>.		7	She used a perfume so strong, that you can track her by following the direction of the smell of flowers.	People always seem to overdo it with their perfume. It seems that whenever I am at school, somebody walks by with their cheap flowery perfume. If I close my eyes, I can actually use that floweriness as a compass - it tells me which direction they´re in.	芳	ほうこう【芳香】perfume; fragrance; aroma; balm; sweet scent<br/>ほうし【芳枝】fragrant branch of flowers<br/>かぐわしい【芳しい】sweet-smelling; scentful; fragrant<br/>かんばしい【芳しい】sweet; fragrant; aromatic / good (e.g. reputation, rumor); favorable<br/>ほうじゅ【芳樹】beautiful tree; tree producing beautiful flowers<br/>ほうじゅん【芳潤】mellow (flavor or fragrance, esp. alcohol); rich; full-bodied; superior<br/>ほうれつ【芳烈】aromatic; heroic deed; outstanding achievement<br/>すおう【蘇方】sappanwood (Caesalpinia sappan) / sappanwood dye (red in colour) (color) / layered colour (light brown on the front, dark red beneath)<br/>ほうめい【芳名】good name; good reputation; your name<br/>ほうじょう【芳情】your good wishes; your kind intentions<br/>ほうき【芳紀】age of a young lady who is at the peak of her (sexual) attractiveness; marriable age (of a young lady); sweet sixteen<br/>こうばしい【芳ばしい】fragrant; aromatic; sweet-smelling / savory (smelling); savoury<br/>ほうし【芳志】(your) kindness<br/>ほうしょ【芳書】honorific reference to another's letter	19	ホウ	かんば.しい	493	1155	1	[sound:RTK1_keyword_jp_532..mp3]	[sound:RTK1_keyword_en_532.mp3]
533	"<img src=""E882AA.png"" />"	obese	rasvunud		脂肪	しぼう	fat; grease; blubber	obese, moon, month, flesh, part of the body, compass, direction	If you eat too much, you may need a <i>compass</i> to find your way around the <b>obese</b> mass of <i>flesh</i> that piles up in the midsection. Compare this with your stories for <i>round</i> (Frame 44) and <i>fat</i> (Frame 494), similar in meaning but distinct in imagery.		8	Flesh in all directions = obese.	Yo momma so obese, she changed the direction of the moon.	肪	しぼう【脂肪】fat; grease; blubber<br/>ひかしぼう【皮下脂肪】subcutaneous fat<br/>しぼうさん【脂肪酸】fatty acid<br/>しぼうぶとり【脂肪ぶとり】fat	19	ボウ		494	1246	1	[sound:RTK1_keyword_jp_533..mp3]	[sound:RTK1_keyword_en_533.mp3]
534	"<img src=""E8A8AA.png"" />"	call on	kutsuma		訪ねる	たずねる	visit, call on	call on, say, words, keitai, mouth, compass, direction	When making a courtesy <b>call on</b> a dignitary, one has to gauge one´s <i>words</i> with great care. Hence the need for a <i>compass</i>.		11	When you call on someone, you point your words in their direction.	When calling on a girl, you´d better what what sweet words will turn her fancy in your direction. (Image: last century teenagers on a frilly couch in the sitting room, she with her back to him, and he fumbling for the right words to turn her around).	訪	おとずれる; おとづれる【訪れる】to visit; to call on / to arrive; to come; to appear<br/>たずねる【訪ねる】to visit<br/>ほうもん【訪問】call; visit<br/>らいほう【来訪】visit; call<br/>おとずれ【訪れ】visit; call / arrival (e.g. of spring); advent; coming; appearance / news; tidings; word<br/>おとなう【訪う】to visit / (original meaning) to make a noise<br/>とう【問う】to ask; to inquire / to charge (e.g. with a crime); to accuse / without regard to; to not matter / to call into question; to doubt; to question<br/>たんぼう【探訪】searching; hunting for news story; journalist<br/>れきほう【歴訪】round of calls; tour of visitation<br/>さいほう【再訪】revisit<br/>ほうきゃく【訪客】visitor; guest<br/>ほうにち【訪日】visit to Japan<br/>ほうおう【訪欧】visit to Europe	19	ホウ	おとず.れる, たず.ねる, と.う	495	984	2	[sound:RTK1_keyword_jp_534..mp3]	[sound:RTK1_keyword_en_534.mp3]
535	"<img src=""E694BE.png"" />"	set free	vabastama	doves released y douglas mcarthur	放つ	はなつ　【放つ】	emit; set free	set free, compass, direction, taskmaster	The <i>taskmaster</i> <b>sets</b> an unruly servant <b>free</b>, giving him no more than a quick glance at the <i>compass</i> and a boot from behind.		8	Go in any direction away from your taskmaster when you are set free.	When slaves were set free from their masters, they set off in all directions… RTK2:　ホウ　放射　ほうしゃ(radiation)… Pure group: 倣979.	放	はなつ【放つ】to fire (e.g. an arrow); to hit (e.g. baseball); to break wind / to free; to release / to give off (e.g. a scent); to emit (e.g. light)<br/>かいほう【解放】release; unleashing; liberation; emancipation; setting free / deallocation (of computer memory)<br/>はなす【放す】to release; to let go; to free; to set free; to let loose; to turn loose / to add (pieces of eggplant, potato, etc.) to water, broth, etc.<br/>ひる【放る】to expel (from the body); to excrete; to defecate; to give birth<br/>はなる【放る】to get free; to be freed; to be released<br/>まる【放る】to excrete (faeces, urine)<br/>ほうる; ほる【抛る】to throw; to toss; to fling / to throw away; to discard / to neglect; to abandon; to leave alone; to give up on; to leave undone; to leave unfinished<br/>ほうそう【放送】broadcast; broadcasting<br/>ほうりだす【ほうり出す】to throw out; to fire; to expel; to give up; to abandon; to neglect<br/>ほうかご【放課後】after school<br/>ほうしゃ【放射】radiation; emission<br/>ほうち【放置】leave as is; leave to chance; leave alone; neglect<br/>ほうしゅつ【放出】release; emission; ejection<br/>ほうき【抛棄】abandonment; renunciation; resignation; abdication (responsibility, right)<br/>いいはなつ【言い放つ】to declare; to assert; to say bluntly; to tell straight out<br/>ほうりこむ【放り込む】to throw into; to toss into<br/>ほうだい【放題】as much as you would like to; as much as one likes<br/>かいほう【開放】open; throw open; liberalization; liberalisation<br/>てばなす【手放す】to let go of; to release; to drop / to part with (e.g. a possession); to relinquish; to spare; to sell / to send away (e.g. one's child); to let go; to part with / to temporarily stop working<br/>ついほう【追放】exile; banishment; eviction; deportation; transportation	19	ホウ	はな.す, -っぱな.し, はな.つ, はな.れる, こ.く, ほう.る	496	414	2	[sound:RTK1_keyword_jp_535..mp3]	[sound:RTK1_keyword_en_535.mp3]
536	"<img src=""E6BF80.png"" />"	violent	vägivaldne	poseidon raging at sea	激しい	はげしい	violent, intense	violent, water, water droplets, water pistol, white, dove, compass, direction, taskmaster	Some cosmic <i>taskmaster</i> hovering overhead whips up the waves to make them dash <b>violently</b> against the shore. In the <i>white</i> foam that covers the <i>water</i> we see a broken <i>compass</i> floating, all that remains of a shipwreck.		16	When the taskmaster found his favorite white compas damaged by water, he became the most violent taskmaster there ever was.	Overnight the slave got Violent and was Set Free. Overnight....Set Free.	激	はげしい【劇しい】violent; furious; tempestuous / extreme; intense; fierce / fervent; vehement / incessant; relentless / precipitous; steep<br/>しげき【刺戟】stimulus; impetus; incentive; encouragement; motivation; provocation; excitement; thrill<br/>げき【激】extremely ...<br/>げきとつ【激突】crash into; clash<br/>きゅうげき【急劇】sudden; precipitous; radical<br/>げきつう【劇痛】pain (intense, sharp, violent)<br/>かんげき【感激】deep emotion; impression; inspiration<br/>かげき【過激】extreme; radical<br/>げきじょう【激情】violent emotion; passion; fury<br/>げっこう; げきこう【激昂】excited; exasperated; indignant; rage; enraged<br/>げきど【激怒】rage; indignation; exasperation<br/>げきれつ【劇烈】violence; vehemence; fury; fervour; fervor; severity; fierceness; keenness<br/>げきしん【劇震】severe earthquake<br/>げきれい【激励】encouragement<br/>げきりゅう【激流】raging stream; rapids<br/>げきせん【劇戦】fierce battle; hard-fought battle; hot contest; severe fight<br/>げきへん【劇変】sudden change; upheaval<br/>ふんげき【憤激】fury<br/>げきどう【激動】terrible shock; agitation; upheaval<br/>げきげん【激減】dropping sharply; decreasing rapidly	19	ゲキ	はげ.しい	497	859	1	[sound:RTK1_keyword_jp_536..mp3]	[sound:RTK1_keyword_en_536.mp3]
537	"<img src=""E884B1.png"" />"	undress	lahti riietuma		脱ぐ	ぬぐ	to take off (clothes, shoes, etc.); to undress	undress, moon, month, flesh, part of the body, devil, horns, elder brother, teenager, mouth, human legs	To <b>undress</b> is to expose the <i>flesh</i> and tempt the <i>devil</i> in the eyes of one´s onlookers. Ignore the moral if you want, but not the <i>devil</i>.		11	HORNY TEENAGERS love to UNDRESS FLESH.	Before you undress I should warn you -- the sight of flesh brings out the devil in me.	脱	ぬぐ【脱ぐ】to take off (clothes, shoes, etc.); to undress<br/>だっしゅつ【脱出】escape; break-out / prolapse; proptosis<br/>だつ【脱】de- (indicating reversal, removal, etc.)<br/>りだつ【離脱】withdrawal; secession; separation; breakaway<br/>ぬがす【脱がす】to strip someone; to help someone remove (clothes)<br/>ぬぎすてる【脱ぎ捨てる】to fling; to throw off (clothes); to kick off (boots)<br/>だっそう【脱走】desertion; escape<br/>だつりょく【脱力】exhaustion; draining of strength<br/>だつらく【脱落】loss; dropping out; falling by the wayside / omission; lacuna; gap; hiatus / desertion; defection / apostasy<br/>だつい【脱衣】undressing; taking off one's clothes<br/>きょだつ【虚脱】prostration; lethargy; collapse; despondency<br/>いつだつ【逸脱】deviation; departure / omission<br/>ぬげる【脱げる】to come off; to slip down; to slip off<br/>だつごく【脱獄】prison breaking; jailbreak; gaolbreak<br/>だっと【脱兎】dashing away; bounding away; (with) lightning speed / startled hare<br/>だっせん【脱線】derailment / digression; deviation<br/>だっぴ【脱皮】ecdysis; shedding (of skin); sloughing; molting; moulting; casting off / freeing oneself; breaking with (convention, etc.)<br/>だっする【脱する】to escape from; to get out<br/>だっしめん【脱脂綿】absorbent cotton<br/>だっすい【脱水】evaporation; dehydration; dessication	19	ダツ	ぬ.ぐ, ぬ.げる	498	1560	1	[sound:RTK1_keyword_jp_537..mp3]	[sound:RTK1_keyword_en_537.mp3]
538	"<img src=""E8AAAC.png"" />"	explanation	seletamine	what is your explanation of this? Then the devil spreads words over the participants in the courtroom	説明	せつめい	explanation; exposition	rumor, say, words, keitai, mouth, devil, horns, elder brother, teenager, mouth, human legs	Not inappropriately, this character likens an <b>explanation</b> to the <i>devil´s</i> own <i>words</i>.		14	The words of a horny teenager typically fall into one of two categories: either rumors or explanations.	The words of the devil incite rumours and false explanations.	説	しょうせつ【小説】novel; (short) story<br/>でんせつ【伝説】tradition; legend; folklore<br/>せつ【説】theory; doctrine / opinion; view / rumour; rumor; gossip; hearsay<br/>せっとく【説得】persuasion<br/>えんぜつ【演説】speech; address<br/>とく【説く】to explain; to advocate; to preach; to persuade<br/>せっきょう【説教】propounding; preaching; sermonizing / remonstration; scolding; lecturing<br/>かいせつ【解説】explanation; commentary; exposition; elucidation<br/>かせつ【仮説】hypothesis; supposition; fictional<br/>くどく【口説く】to persuade; to coax; to solicit / to seduce; to make advances; to make a play; to make a pass; to put the moves on; to come on to; to hit on; to court; to woo; to romance<br/>がくせつ【学説】theory<br/>りきせつ【力説】insistence; (major) emphasis; stress<br/>くぜつ【口舌】lovers' tiff; quarrel between lovers / chattering; idle talk<br/>いっせつ【一説】one theory (opinion); another theory (opinion)<br/>ぎゃくせつ【逆説】paradox<br/>しょせつ【所説】explanation; matter under discussion; contents; one's opinion<br/>ふうせつ【風説】rumor; rumour; gossip; hearsay<br/>ときふせる【説き伏せる】to confute; to argue down; to persuade; to convince; to prevail on<br/>しょせつ【諸説】various opinions; various theories / various rumors (rumours)<br/>わたくししょうせつ; ししょうせつ【私小説】novel narrated in the first person	19	セツ, ゼイ	と.く	499	553	3	[sound:RTK1_keyword_jp_538..mp3]	[sound:RTK1_keyword_en_538.mp3]
539	"<img src=""E98BAD.png"" />"	pointed	terav	javelin	鋭い	するどい	sharp (blade); pointed	pointed, metal, gold, devil, horns, elder brother, teenager, mouth, human legs	<i>Metal</i> that has been <b>pointed</b> (as an awl, a pick, a nail, or a knife) tends to serve the <i>devil´s</i> purposes as well as civilization´s: our tools are also our weapons.		15	Pointed is the metal devil´s pitchfork.	The Horny teenager who worked part time at a gold smelting plant always had uncontrollable errections that pointed out all the time, this is not a good thing to have when you work in a gold smelting plant, surely he will one day end up with a Goldmember!	鋭	するどい【鋭い】sharp (blade); pointed / sharp (pain); stabbing; cutting (remark); stinging; pointed (question or look); screeching (noise) / perceptive; keen; quick (mind); astute; shrewd; discerning / nimble; agile; quick<br/>えいり【鋭利】sharpness<br/>えいびん【鋭敏】sharpness; keenness; sensitiveness; mental acumen<br/>せいえい【精鋭】elite; picked; powerful; efficient<br/>しんえい【新鋭】young and energetic; up-and-coming; new and excellent; newly produced; up-and-comer<br/>えいかく【鋭角】acute angle<br/>せんえい【先鋭】radical; acute; sharp<br/>せんえい【先鋭】radical; acute; sharp<br/>えいい【鋭意】eagerly; earnestly; diligently<br/>きえい【気鋭】spirited; energetic<br/>えいき【鋭気】courage; ardour; high spirits<br/>えいほう【鋭鋒】brunt of attack or argument	19	エイ	するど.い	500	1970	2	[sound:RTK1_keyword_jp_539..mp3]	[sound:RTK1_keyword_en_539.mp3]
540	"<img src=""E69BBD.png"" />"	formerly	enne	polititian	曽	ひい,ひ,そう	great (i.e. great-grandson, great-grandmother)	formerly, increase, horns, rice field, brains, sun, day	"This primitive (named for its associations with the kanji of the following frame) is composed of a pair of <i>horns</i> growing out of a <i>brain</i> with a <i>tongue wagging in the mouth</i> beneath. Think of ""<b>former</b>"" in connection with administrators or heads of state who have just left office but continue to make a nuisance of themselves by advertising their opinions on public policy."	"* The primitive meaning, <i>increase</i>, comes from the next frame. Always think of something multiplying wildly as you watch.	 "	11	The Artist formerly Known as Prince has the horniest brain around, and I think you can imagine what his wagging tongue is doing...	Formerly, horned animals were used to plough the ricefield, and it took all day. Nowadays it´s done by machine.	曽	ひい; ひ; そう【曽】great (i.e. great-grandson, great-grandmother)	19	ソウ, ソ, ゾウ	かつ, かつて, すなわち	501	1558	0	[sound:RTK1_keyword_jp_540..mp3]	[sound:RTK1_keyword_en_540.mp3]
541	"<img src=""E5A297.png"" />"	increase	suurendama		増える	ふえる	to increase; to multiply	increase, soil, dirt, ground, increase, formerly, horns, rice field, brains, sun, day	This kanji depicts an <b>increase</b> of <i>soil</i>, multiplying so fast that it literally buries everything in its path.		14	Prices always INCREASE for LAND that was FORMERLY cheaper.	Farmers work the land so they can INCREASE their formerly puny crop supply.	増	ます【増す】to increase; to grow<br/>ふえる【増える】to increase; to multiply<br/>ぞう【増】increase<br/>ふやす【増やす】to increase; to add to; to augment<br/>ぞうふく【増幅】amplification (elec.) / magnification; amplification; making larger<br/>ぞうか【増加】increase; increment; addition<br/>としま【年増】mature woman; middle-aged woman<br/>ぞうだい【増大】enlargement; increase<br/>ぞうえん【増援】reinforcement<br/>ぞうしょく【増殖】increase; multiplication; propagation<br/>ぞうちょう【増長】growing impudent; becoming arrogant; getting stuck-up / becoming more severe (esp. regarding something bad); increasing<br/>ぞうきょう【増強】augment; reinforce; increase<br/>ばいぞう【倍増】double<br/>まし; マシ【増し】better; less objectionable; preferable / more; increase; extra / increase; growth<br/>ぞうちく【増築】addition to a building<br/>ぞうせつ【増設】extension; expansion; adding (equipment, facilities, etc.)<br/>ぞうすい【増水】rising water (of river, lake, etc.); swelling water; increased water; high water<br/>ぞうしん【増進】promoting; increase; advance<br/>ひましに【日増しに】day by day<br/>わりまし【割増】premium; bonus; extra wages; (after a number) tenths increase	19	ゾウ	ま.す, ま.し, ふ.える, ふ.やす	502	763	2	[sound:RTK1_keyword_jp_541..mp3]	[sound:RTK1_keyword_en_541.mp3]
542	"<img src=""E8B488.png"" />"	presents	kingitused	ametlikele kohtumistele võetav meelehea	贈り物	おくりもの	present; gift	presents, shellfish, clam, oyster, eye, animal legs, eight, increase, formerly, horns, rice field, brains, sun, day	"The <b>presents</b> offered here are <i>money</i> that <i>increases</i> each time you give it away. Do not confuse with the temporal word ""present"" (Frame 275)."		18	Presents represent money that was formerly yours.	Imagine if the number of presents you get increases with each birthday. So on your first birthday, you receive just one shell as a present, but the next year it increases to two shells as presents, and so on, increasing and increasing so by the time you´re elderly, the number of shells you´ll get as presents will have increased to an awful lot of presents. GOT IT YET? PRESENTS = SHELLS + INCREASE.	贈	おくる【贈る】to give (as a gift); to present / to confer; to bestow; to award<br/>おくりもの【贈物】present; gift<br/>おくりもの【贈物】present; gift<br/>きぞう; きそう【寄贈】donation; presentation; gift<br/>ぞうてい【贈呈】presentation (e.g. of a gift, etc.)<br/>ぞうよ【贈与】donation; presentation<br/>ぞうとう【贈答】exchange of presents<br/>ぞうしゅうわい【贈収賄】bribery; corruption<br/>いぞう【遺贈】bequest; legacy<br/>ぞうわい【贈賄】bribery; corruption; graft<br/>ついぞう【追贈】conferring court rank posthumously<br/>ぞうい【贈位】conferral of a posthumous rank<br/>けいぞう【恵贈】presentation	19	ゾウ, ソウ	おく.る	503	2090	2	[sound:RTK1_keyword_jp_542..mp3]	[sound:RTK1_keyword_en_542.mp3]
543	"<img src=""E69DB1.png"" />"	east	ida	sunrise behind a tree	東	ひがし	east	east, sun, day, tree, wood	"As a ""Western"" language, English identifies the <b>east</b> with the rising <i>sun</i>. In more fanciful terms, we see the <i>sun</i> piercing through a <i>tree</i> as it rises in the <b>east</b>."	"* Both the direction <i>east</i> and the part of the world called ""the <i>East</i>"" are primitive meanings of this character.	 "	8	Traditionally seen as a pictograph of the sun rising behind a tree.	The sun pierces through the trees as it rises in the east…　　　　　　RTK2:　トウ　東北　とうほく (the northeast)　東京　とうきょう(Tokyo)… MIXED GROUP　凍506　(ﾁﾝ):陳1301　(ﾚﾝ): 練1343　錬2030.	東	とうきょう【東京】Tokyo<br/>あずま; あづま【吾妻】eastern Japan (esp. Kamakura or Edo, from perspective of Kyoto or Nara); eastern provinces / east / six-stringed Japanese zither / my spouse<br/>ひがし; ひむかし; ひんがし【東】east<br/>とうよう【東洋】Orient<br/>とうざい; ひがしにし【東西】east and west / Orient and Occident; East and West / Ladies and Gentlemen!; Your attention, please!; roll-up, roll-up<br/>かんとう【関東】Kanto (eastern half of Japan, including Tokyo)<br/>とうほう; ひがしかた; ひがしがた【東方】eastern direction / the Orient / eastern fighter in a match (e.g. sumo wrestling)<br/>とうほく; ひがしきた【東北】north-east / Tohoku (northernmost six prefectures of Honshu)<br/>ひがしがわ; とうそく【東側】east side; east bank<br/>ほくとう; きたひがし【北東】northeast<br/>とうかいどう【東海道】Tokaido (Edo-period Edo-Kyoto highway)<br/>とうなん; ひがしみなみ【東南】south-east<br/>とうぶ【東部】eastern part; the east (of a region)<br/>こち; とうふう; ひがしかぜ; こちかぜ【東風】east wind; spring wind<br/>あゆ【東風】wind that blows from north to north-east during spring and summer along the coast of the Sea of Japan<br/>ばんどう【坂東】Kanto region (incl. Tokyo, Kanagawa, Saitama, Gunma, Tochigi, Ibaraki and Chiba prefectures)<br/>きょくとう【極東】Far East<br/>とうごく【東国】eastern country; eastern provinces; Kanto provinces<br/>とうせい【東征】eastern expedition<br/>とうぐう【東宮】crown prince	19	トウ	ひがし	504	201	4	[sound:RTK1_keyword_jp_543..mp3]	[sound:RTK1_keyword_en_543.mp3]
